customer_id,tenure_months,monthly_charges,contract,internet_service,support_plan,city,churned
2468,43.0,97.99,month-to-month,dsl,yes,Bethlehem,0
2469,14.0,52.74,two-year,none,no,Bethlehem,0
2470,68.0,91.81,month-to-month,fiber,yes,Nablus,0
2471,54.0,87.07,two-year,fiber,no,Hebron,0
2472,58.0,82.74,two-year,dsl,no,Ramallah,0
2473,32.0,100.49,month-to-month,fiber,no,Nablus,0
2474,34.0,86.98,month-to-month,fiber,yes,Hebron,0
2475,46.0,89.28,two-year,dsl,yes,Nablus,0
2476,57.0,87.01,month-to-month,dsl,no,Hebron,1
2477,61.0,80.5,month-to-month,fiber,yes,Ramallah,0
2478,2.0,33.76,two-year,fiber,yes,Hebron,0
2479,48.0,74.84,one-year,dsl,no,Nablus,0
2480,8.0,60.76,month-to-month,dsl,no,Bethlehem,1
2481,21.0,44.84,month-to-month,dsl,yes,Hebron,0
2482,60.0,110.0,month-to-month,fiber,no,Bethlehem,1
2483,19.0,111.04,two-year,none,no,Nablus,0
2484,58.0,102.9,month-to-month,dsl,no,Bethlehem,0
2485,34.0,78.61,month-to-month,fiber,yes,Bethlehem,1
2486,17.0,102.71,month-to-month,dsl,yes,,0
2487,25.0,73.27,two-year,dsl,no,Nablus,0
2488,39.0,77.46,month-to-month,fiber,yes,Nablus,1
2489,56.0,48.94,two-year,fiber,no,Hebron,0
2490,44.0,81.73,one-year,dsl,yes,Ramallah,0
2491,68.0,74.33,two-year,fiber,no,Bethlehem,1
2492,63.0,,two-year,fiber,no,Nablus,0
2493,55.0,71.87,two-year,fiber,no,Ramallah,1
2494,44.0,71.25,two-year,fiber,no,Ramallah,1
2495,21.0,112.55,month-to-month,fiber,yes,Bethlehem,0
2496,30.0,92.67,two-year,dsl,no,Ramallah,0
2497,9.0,73.25,one-year,fiber,yes,Hebron,0
2498,27.0,78.47,one-year,fiber,no,Nablus,0
2499,67.0,73.97,two-year,dsl,no,Bethlehem,0
2500,31.0,68.54,two-year,fiber,no,Hebron,0
2501,9.0,49.19,one-year,dsl,no,Ramallah,0
2502,47.0,69.68,month-to-month,fiber,no,Ramallah,1
2503,70.0,56.59,month-to-month,fiber,yes,Hebron,0
2504,63.0,45.49,month-to-month,fiber,no,Nablus,0
2505,20.0,84.25,month-to-month,fiber,no,Ramallah,1
2506,33.0,81.61,month-to-month,fiber,no,Hebron,1
2507,39.0,33.69,month-to-month,dsl,no,Ramallah,0
2508,18.0,70.3,month-to-month,fiber,yes,Bethlehem,0
2509,20.0,94.91,one-year,dsl,yes,Bethlehem,0
2510,18.0,96.3,month-to-month,dsl,yes,Nablus,0
2511,72.0,95.57,two-year,fiber,yes,Ramallah,0
2512,54.0,73.86,one-year,dsl,no,Bethlehem,0
2513,61.0,54.41,month-to-month,fiber,no,Hebron,0
2514,59.0,49.16,month-to-month,fiber,no,Nablus,0
2515,70.0,80.58,month-to-month,fiber,no,Nablus,1
2516,8.0,81.34,two-year,dsl,no,Nablus,0
2517,64.0,101.32,month-to-month,none,no,Hebron,0
2518,5.0,97.2,month-to-month,fiber,yes,Nablus,0
2519,35.0,70.09,two-year,dsl,no,Nablus,0
2520,43.0,45.63,two-year,dsl,yes,Bethlehem,0
2521,26.0,65.98,month-to-month,fiber,no,Hebron,0
2522,11.0,77.78,month-to-month,dsl,no,Nablus,1
2523,14.0,68.55,month-to-month,dsl,no,Bethlehem,1
2524,60.0,60.29,month-to-month,none,no,Ramallah,0
2525,23.0,78.56,month-to-month,none,yes,Nablus,0
2526,23.0,,one-year,fiber,no,Hebron,0
2527,67.0,59.18,two-year,fiber,no,Nablus,0
2528,11.0,79.85,month-to-month,dsl,no,Nablus,1
2529,66.0,64.16,one-year,fiber,no,Hebron,0
2530,67.0,78.37,month-to-month,fiber,no,Hebron,1
2531,44.0,79.01,two-year,none,no,Nablus,0
2532,12.0,47.93,one-year,fiber,no,Hebron,0
2533,12.0,62.41,two-year,fiber,no,Ramallah,0
2534,21.0,104.63,two-year,dsl,no,Hebron,0
2535,42.0,47.43,month-to-month,fiber,no,Bethlehem,0
2536,12.0,26.43,month-to-month,dsl,no,Nablus,1
2537,33.0,32.04,month-to-month,none,yes,Bethlehem,0
2538,9.0,73.64,month-to-month,dsl,no,Hebron,1
2539,39.0,73.68,two-year,fiber,yes,Hebron,0
2540,2.0,70.41,month-to-month,fiber,yes,Nablus,0
2541,52.0,99.71,one-year,none,no,Nablus,0
2542,4.0,20.0,one-year,fiber,yes,Bethlehem,0
2543,15.0,81.71,month-to-month,dsl,yes,Bethlehem,1
2544,13.0,107.35,month-to-month,fiber,yes,Bethlehem,1
2545,60.0,48.19,one-year,fiber,no,Hebron,1
2546,4.0,64.64,one-year,none,no,Ramallah,1
2547,31.0,,month-to-month,dsl,no,Bethlehem,1
2548,43.0,53.32,month-to-month,none,yes,Nablus,0
2549,38.0,65.82,one-year,fiber,no,Bethlehem,1
2550,50.0,104.4,month-to-month,dsl,no,Nablus,0
2551,58.0,113.42,two-year,dsl,no,Hebron,0
2552,29.0,65.61,month-to-month,fiber,no,Ramallah,0
2553,60.0,114.91,month-to-month,fiber,yes,Bethlehem,0
2554,23.0,73.78,month-to-month,dsl,no,Nablus,0
2555,71.0,111.58,month-to-month,fiber,no,Hebron,0
2556,37.0,70.95,month-to-month,dsl,no,Hebron,0
2557,53.0,75.88,month-to-month,none,no,Bethlehem,1
2558,64.0,81.04,two-year,fiber,no,Bethlehem,0
2559,58.0,142.93,month-to-month,fiber,no,Bethlehem,0
2560,62.0,91.73,month-to-month,fiber,yes,Hebron,0
2561,39.0,57.44,month-to-month,fiber,no,Nablus,1
2562,4.0,94.32,month-to-month,fiber,no,Bethlehem,0
2563,36.0,65.04,one-year,dsl,yes,Nablus,0
2564,14.0,62.23,month-to-month,fiber,no,Nablus,0
2565,65.0,92.99,one-year,dsl,yes,Ramallah,0
2566,18.0,73.68,month-to-month,fiber,no,Hebron,0
2567,17.0,79.13,two-year,fiber,yes,Ramallah,0
2568,18.0,73.31,month-to-month,fiber,no,Nablus,1
2569,47.0,80.4,two-year,dsl,yes,Hebron,0
2570,42.0,82.35,month-to-month,fiber,no,Hebron,0
2571,69.0,30.39,month-to-month,fiber,no,Ramallah,0
2572,30.0,87.66,two-year,dsl,yes,Bethlehem,0
2573,21.0,51.4,one-year,dsl,no,Nablus,0
2574,4.0,41.27,one-year,fiber,no,Nablus,0
2575,1.0,71.71,month-to-month,none,no,Nablus,1
2576,27.0,74.85,one-year,fiber,yes,Hebron,1
2577,67.0,57.74,two-year,fiber,no,Ramallah,0
2578,38.0,91.28,one-year,dsl,yes,Hebron,0
2579,65.0,43.47,month-to-month,fiber,yes,Bethlehem,1
2580,8.0,64.05,one-year,fiber,no,Bethlehem,0
2581,7.0,60.13,one-year,dsl,no,Ramallah,0
2582,61.0,71.98,two-year,fiber,no,Ramallah,0
2583,8.0,79.14,month-to-month,dsl,yes,Ramallah,0
2584,4.0,50.83,month-to-month,none,no,Bethlehem,0
2585,30.0,88.93,two-year,dsl,no,Ramallah,1
2586,67.0,74.39,month-to-month,dsl,no,Bethlehem,0
2587,50.0,31.38,one-year,dsl,no,Ramallah,0
2588,8.0,29.91,month-to-month,none,yes,Nablus,0
2589,61.0,72.73,month-to-month,fiber,yes,Nablus,0
2590,61.0,68.14,one-year,fiber,no,Ramallah,0
2591,58.0,70.72,month-to-month,dsl,no,Bethlehem,0
2592,65.0,72.38,month-to-month,dsl,yes,Nablus,0
2593,18.0,77.96,one-year,fiber,yes,Bethlehem,0
2594,71.0,93.85,one-year,dsl,yes,Bethlehem,0
2595,24.0,48.56,two-year,fiber,no,Hebron,0
2596,58.0,47.22,month-to-month,none,yes,Hebron,0
2597,42.0,48.95,month-to-month,fiber,no,Nablus,0
2598,57.0,79.36,two-year,fiber,no,Ramallah,0
2599,46.0,100.39,month-to-month,fiber,yes,Ramallah,0
2600,47.0,63.51,month-to-month,fiber,no,Hebron,1
